Team,No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定)
広,53,戸田　隆矢,投手,1993/06/10,23,5,181,72,A,左左,兵庫,"1,970"
広,54,船越　涼太,捕手,1993/11/26,22,1,178,83,O,右右,千葉,800
広,55,エルドレッド,内野手,1980/07/12,35,5,196,122,不明,右右,アメリカ,"12,500"
広,56,辻　空,投手,1994/04/24,22,4,184,84,O,右右,岐阜,460
広,57,オスカル,投手,1991/03/28,25,1,178,78,O,左左,ブラジル,800
広,58,ジャクソン,投手,1987/10/27,28,1,185,88,不明,右右,アメリカ,"7,260"
広,59,美間　優槻,内野手,1994/05/26,22,4,177,90,B,右右,徳島,600
広,60,安部　友裕,内野手,1989/06/24,27,9,181,81,O,右左,福岡,"1,080"
広,61,磯村　嘉孝,捕手,1992/11/01,23,6,178,89,A,右右,愛知,615
広,62,今井　啓介,投手,1987/05/24,29,11,183,89,B,右右,新潟,"1,400"
広,63,西川　龍馬,内野手,1994/12/10,21,1,176,68,O,右左,大阪,750
広,64,多田　大輔,捕手,1996/05/25,20,2,189,92,B,右右,徳島,490
広,65,久本　祐一,投手,1979/03/14,37,15,177,83,O,左左,大阪,"1,000"
広,66,ヘーゲンズ,投手,1989/05/12,27,1,190,95,不明,右右,アメリカ,"5,700"
広,67,中村　祐太,投手,1995/08/31,20,3,182,80,A,右右,東京,460
広,68,中村　亘佑,捕手,1991/04/02,25,7,181,87,O,右右,神奈川,460
広,69,青木　陸,内野手,1997/11/11,18,1,181,87,B,右右,山形,420
広,98,佐藤　祥万,投手,1989/08/18,26,9,172,78,B,左左,栃木,600
広,121,松浦　耕大,捕手,1993/04/06,23,2,175,78,O,右右,福岡,380
広,123,木村　聡司,内野手,1996/05/06,20,2,180,78,B,右右,静岡,320
広,145,バティスタ,内野手,1992/01/18,24,1,189,115,不明,右右,ドミニカ共和国,235
広,146,メヒア,内野手,1993/03/10,23,1,192,102,不明,右右,ドミニカ共和国,234
巨,0,藤村　大介,内野手,1989/07/25,26,9,174,74,AB,右左,熊本,"1,125"
巨,00,寺内　崇幸,内野手,1983/05/27,33,10,177,73,B,右右,栃木,"2,600"
巨,001,篠原　慎平,投手,1990/06/13,26,2,186,97,A,右左,愛媛,260
巨,002,田原　啓吾,投手,1994/06/12,22,4,182,95,A,左左,神奈川,280
巨,2,脇谷　亮太,内野手,1981/11/04,34,11,177,77,A,右左,大分,"2,400"
巨,003,ペレス,投手,1991/11/20,24,2,189,100,不明,左左,ドミニカ共和国,500
巨,004,川相　拓也,内野手,1990/11/25,25,2,174,72,O,右右,神奈川,270
巨,5,ギャレット,外野手,1981/06/21,35,1,196,107,不明,左左,アメリカ,"30,000"
巨,005,田中　貴也,捕手,1992/08/27,23,2,178,80,O,右左,京都,250
巨,6,坂本　勇人,内野手,1988/12/14,27,10,186,83,AB,右右,兵庫,"25,000"
巨,006,芳川　庸,捕手,1993/08/18,22,5,183,86,A,右右,京都,280
巨,007,髙橋　洸,外野手,1993/04/30,23,5,184,77,A,右右,新潟,510
巨,7,長野　久義,外野手,1984/12/06,31,7,180,85,O,右右,佐賀,"17,500"
巨,8,片岡　治大,内野手,1983/02/17,33,12,176,78,O,右右,千葉,"8,600"
巨,008,青山　誠,外野手,1991/11/01,24,3,185,85,O,右右,兵庫,240
巨,009,長江　翔太,外野手,1991/10/08,24,3,190,98,O,右左,大阪,250
巨,9,亀井　善行,外野手,1982/07/28,33,12,178,82,AB,右左,奈良,"7,000"
巨,10,阿部　慎之助,内野手,1979/03/20,37,16,180,97,A,右左,千葉,"32,600"
巨,010,髙橋　慎之介,投手,1994/07/25,21,2,187,90,A,右左,千葉,250
巨,11,クルーズ,内野手,1984/02/10,32,3,183,95,不明,右右,メキシコ,"24,400"
巨,011,北之園　隆生,外野手,1995/04/12,21,3,180,88,AB,右左,鹿児島,250
巨,12,鈴木　尚広,外野手,1978/04/27,38,20,180,78,A,右両,福島,"6,000"
巨,012,成瀬　功亮,投手,1992/08/19,23,6,182,84,A,右右,北海道,260
巨,13,香月　良太,投手,1982/07/27,33,13,180,85,A,右右,福岡,"3,900"
巨,013,田中　太一,投手,1993/02/27,23,6,181,85,O,右右,大分,510
巨,15,澤村　拓一,投手,1988/04/03,28,6,184,101,A,右右,栃木,"10,000"
巨,015,増田　大輝,内野手,1993/07/29,22,1,172,65,A,右右,徳島,240
巨,016,小林　大誠,捕手,1994/01/15,22,1,180,82,O,右左,青森,240
巨,17,大竹　寛,投手,1983/05/21,33,15,184,92,B,右右,埼玉,"10,000"
巨,18,杉内　俊哉,投手,1980/10/30,35,15,175,82,A,左左,福岡,"5,000"
巨,018,田島　洸成,内野手,1996/07/13,19,1,175,78,A,右左,埼玉,240
巨,19,菅野　智之,投手,1989/10/11,26,4,186,92,A,右右,神奈川,"13,000"
巨,019,大竹　秀義,投手,1988/07/26,27,1,180,87,AB,右右,埼玉,240
巨,020,橋本　篤郎,投手,1998/02/24,18,1,178,82,B,左左,熊本,240
巨,20,マシソン,投手,1984/02/27,32,5,191,104,不明,右右,カナダ,"18,500"
巨,021,矢島　陽平,投手,1990/06/16,26,1,179,82,AB,右右,埼玉,240
巨,21,桜井　俊貴,投手,1993/10/21,22,1,181,82,AB,右右,兵庫,"1,500"
巨,022,ソリマン,投手,1989/08/11,26,1,188,100,不明,右右,ドミニカ共和国,300
巨,22,小林　誠司,捕手,1989/06/07,27,3,178,80,O,右右,大阪,"2,600"
巨,023,坂口　真規,内野手,1990/09/29,25,4,187,95,A,右右,和歌山,500
巨,23,相川　亮二,捕手,1976/07/11,39,22,183,86,A,右右,千葉,"5,500"
巨,024,田中　大輝,投手,1992/08/07,23,2,182,80,O,左左,熊本,800
巨,025,アダメス,投手,1994/09/27,21,1,193,95,不明,右右,ドミニカ共和国,220
巨,25,村田　修一,内野手,1980/12/28,35,14,177,92,AB,右右,福岡,"30,000"
巨,26,内海　哲也,投手,1982/04/29,34,13,186,95,A,左左,京都,"40,000"
巨,27,實松　一成,捕手,1981/01/18,35,18,177,85,A,右右,佐賀,"3,700"
巨,28,ガブリエル,投手,1989/05/11,27,1,180,87,不明,左左,ベネズエラ,900
巨,28,高木　京介,投手,1989/09/05,26,5,183,86,AB,左左,石川,900
巨,30,宮國　椋丞,投手,1992/04/17,24,6,186,84,B,右右,沖縄,"1,900"
巨,31,松本　哲也,外野手,1984/07/03,31,10,168,66,O,左左,山梨,"2,400"
巨,32,橋本　到,外野手,1990/04/28,26,8,172,78,O,右左,宮城,"2,600"
巨,33,アブレイユ,外野手,1989/10/24,26,3,190,85,不明,右右,ドミニカ共和国,500
巨,35,西村　健太朗,投手,1985/05/10,31,13,184,94,A,右右,広島,"13,000"
巨,36,中井　大介,内野手,1989/11/27,26,9,182,85,B,右右,三重,"1,440"
巨,37,田原　誠次,投手,1989/09/02,26,5,180,80,A,右左,宮崎,"1,800"
巨,38,岡本　和真,内野手,1996/06/30,20,2,184,96,A,右右,奈良,"1,400"
巨,39,マイコラス,投手,1988/08/23,27,2,196,100,不明,右右,アメリカ,"24,000"
巨,40,加藤　健,捕手,1981/03/23,35,18,186,93,A,右右,新潟,"3,500"
巨,42,アンダーソン,外野手,1982/03/30,34,3,185,93,不明,左左,キューバ,"5,500"
巨,43,重信　慎之介,外野手,1993/04/17,23,1,173,70,A,右左,千葉,"1,200"
巨,44,大田　泰示,外野手,1990/06/09,26,8,188,95,O,右右,広島,"2,100"
巨,45,今村　信貴,投手,1994/03/15,22,5,180,84,AB,左左,大阪,950
巨,46,與那原　大剛,投手,1998/03/09,18,1,190,89,A,右右,沖縄,600
巨,47,山口　鉄也,投手,1983/11/11,32,11,184,88,A,左左,神奈川,"32,000"
巨,48,矢貫　俊之,投手,1983/12/15,32,8,190,95,B,右右,福島,"2,200"
巨,49,ポレダ,投手,1986/10/01,29,2,198,109,不明,左左,アメリカ,"15,600"
巨,50,戸根　千明,投手,1992/10/17,23,2,173,93,A,左左,京都,"2,400"
巨,51,堂上　剛裕,外野手,1985/05/27,31,13,184,90,O,右左,愛知,"2,500"
巨,52,宇佐見　真吾,捕手,1993/06/04,23,1,181,87,O,右左,千葉,800
巨,53,河野　元貴,捕手,1991/06/14,25,7,180,83,B,右左,福岡,670
巨,54,高木　勇人,投手,1989/07/13,26,2,178,90,A,右右,三重,"4,200"
巨,56,山本　泰寛,内野手,1993/10/10,22,1,176,76,B,右右,東京,800
巨,57,公文　克彦,投手,1992/03/04,24,4,173,78,A,左左,高知,850
巨,58,立岡　宗一郎,外野手,1990/05/18,26,8,181,81,A,右左,熊本,"3,600"
巨,59,小山　雄輝,投手,1988/12/05,27,6,187,82,O,右右,愛知,"2,800"
巨,60,乾　真大,投手,1988/12/08,27,6,176,80,A,左左,兵庫,930
巨,61,和田　恋,内野手,1995/09/26,20,3,180,84,O,右右,高知,780
巨,62,江柄子　裕樹,投手,1986/11/14,29,5,184,82,B,右右,東京,"1,230"
巨,64,鬼屋敷　正人,捕手,1991/06/19,25,7,178,84,O,右右,三重,620
巨,65,辻　東倫,内野手,1994/08/11,21,4,181,83,B,右左,三重,710
巨,66,北　篤,外野手,1988/11/26,27,10,182,88,A,右左,石川,790
巨,67,土田　瑞起,投手,1990/01/01,26,5,181,90,O,右右,長崎,"1,000"
巨,68,吉川　大幾,内野手,1992/08/21,23,6,175,73,A,右両,大阪,"1,700"
巨,69,松崎　啄也,捕手,1992/01/20,24,1,174,90,O,右右,栃木,800
巨,79,ガルシア,外野手,1993/03/02,23,1,185,76,不明,右右,キューバ,"1,000"
巨,90,田口　麗斗,投手,1995/09/14,20,3,171,80,B,左左,広島,"1,800"
巨,91,中川　皓太,投手,1994/02/24,22,1,183,83,A,左左,大阪,800
巨,92,平良　拳太郎,投手,1995/07/12,20,3,181,77,O,右右,沖縄,600
巨,93,巽　大介,投手,1997/04/26,19,1,183,84,AB,左左,鳥取,540
巨,94,メンドーサ,投手,1994/03/05,22,3,190,80,不明,右右,キューバ,"1,400"
巨,95,ウーゴ,投手,1989/05/22,27,5,181,85,A,左左,ブラジル,400
巨,96,長谷川　潤,投手,1991/06/15,25,1,186,74,B,右右,東京,240
巨,99,阿南　徹,投手,1984/07/28,31,7,182,80,O,左左,大分,"1,000"
阪,0,大和,外野手,1987/11/05,28,11,177,68,A,右右,鹿児島,"5,300"
阪,00,柴田　講平,外野手,1986/07/17,29,8,177,78,A,左左,福岡,950
阪,1,鳥谷　敬,内野手,1981/06/26,35,13,180,79,B,右左,東京,"40,000"
阪,2,北條　史也,内野手,1994/07/29,21,4,177,76,O,右右,大阪,730
阪,4,上本　博紀,内野手,1986/07/04,29,8,173,67,O,右右,広島,"3,600"
阪,5,ゴメス,内野手,1984/09/07,31,3,188,104,不明,右右,ドミニカ共和国,"20,000"
阪,7,西岡　剛,内野手,1984/07/27,31,12,182,82,A,右両,大阪,"10,800"
阪,8,福留　孝介,外野手,1977/04/26,39,13,182,92,B,右左,鹿児島,"20,000"
阪,9,髙山　俊,外野手,1993/04/18,23,1,181,86,O,右左,千葉,"1,500"
阪,12,坂本　誠志郎,捕手,1993/11/10,22,1,176,78,O,右右,兵庫,"1,200"
阪,13,榎田　大樹,投手,1986/08/07,29,6,181,89,AB,左左,鹿児島,"3,200"
阪,14,能見　篤史,投手,1979/05/28,37,12,180,73,AB,左左,兵庫,"14,000"
阪,15,横山　雄哉,投手,1994/02/21,22,2,183,84,O,左左,山形,"1,500"
阪,16,安藤　優也,投手,1977/12/27,38,15,184,96,O,右右,大分,"8,200"
阪,17,岩貞　祐太,投手,1991/09/05,24,3,183,79,A,左左,熊本,"1,600"
阪,18,藤川　球児,投手,1980/07/21,35,15,184,86,A,右左,高知,"20,000"
阪,19,藤浪　晋太郎,投手,1994/04/12,22,4,197,89,A,右右,大阪,"17,000"
阪,20,筒井　和也,投手,1981/10/05,34,13,184,90,O,左右,愛媛,"2,200"
阪,21,岩田　稔,投手,1983/10/31,32,11,179,95,O,左左,大阪,"6,800"
阪,24,横田　慎太郎,外野手,1995/06/09,21,3,186,92,O,左左,鹿児島,720
阪,25,江越　大賀,外野手,1993/03/12,23,2,182,80,O,右右,長崎,"1,600"
阪,26,歳内　宏明,投手,1993/07/19,22,5,184,89,B,右右,兵庫,"1,600"
阪,27,秋山　拓巳,投手,1991/04/26,25,7,188,98,A,右左,香川,"1,000"
阪,28,福原　忍,投手,1976/12/28,39,18,180,96,O,右右,広島,"15,000"
阪,29,小嶋　達也,投手,1985/10/07,30,10,182,81,A,左左,大阪,800
阪,30,石崎　剛,投手,1990/09/09,25,2,183,85,O,右右,茨城,"1,180"
阪,32,新井　良太,内野手,1983/08/16,32,11,188,97,AB,右右,広島,"2,700"
阪,33,西田　直斗,内野手,1993/04/26,23,5,186,78,O,右左,大阪,580
阪,34,高宮　和也,投手,1981/12/04,34,11,174,80,A,左左,大阪,"3,000"
阪,35,坂　克彦,内野手,1985/09/06,30,13,180,84,A,右左,茨城,"2,300"
阪,36,ヘイグ,内野手,1985/08/20,30,1,191,102,不明,右右,アメリカ,"8,000"
阪,37,森越　祐人,内野手,1988/08/11,27,6,178,70,A,右右,愛知,600
阪,38,マテオ,投手,1984/04/18,32,1,188,107,不明,右右,ドミニカ共和国,"7,500"
阪,39,小宮山　慎二,捕手,1985/11/26,30,13,178,86,A,右右,神奈川,"1,200"
阪,40,鶴岡　一成,捕手,1977/05/30,39,21,184,85,A,右右,兵庫,"4,200"
阪,41,髙橋　聡文,投手,1983/05/29,33,15,176,85,A,左左,福井,"3,000"
阪,42,竹安　大知,投手,1994/09/27,21,1,183,80,O,右右,静岡,840
阪,43,守屋　功輝,投手,1993/11/25,22,2,183,87,A,右右,岡山,800
阪,44,梅野　隆太郎,捕手,1991/06/17,25,3,173,74,A,右右,福岡,"1,500"
阪,45,清水　誉,捕手,1984/04/23,32,10,178,77,A,右右,兵庫,"1,150"
阪,46,鶴　直人,投手,1987/04/25,29,11,180,76,A,右左,大阪,"1,300"
阪,47,山本　翔也,投手,1988/10/12,27,3,183,87,O,左左,福井,600
阪,48,金田　和之,投手,1990/09/18,25,4,184,83,O,右右,鹿児島,"1,500"
阪,49,今成　亮太,内野手,1987/10/06,28,11,178,76,O,右左,埼玉,"4,000"
阪,50,青柳　晃洋,投手,1993/12/11,22,1,181,79,B,右右,神奈川,720
阪,51,伊藤　隼太,外野手,1989/05/08,27,5,177,83,O,右左,愛知,"1,700"
阪,52,小豆畑　眞也,捕手,1988/07/22,27,4,181,78,A,右右,岐阜,700
阪,54,メッセンジャー,投手,1981/08/13,34,7,198,121,不明,右右,アメリカ,"30,000"
阪,55,陽川　尚将,内野手,1991/07/17,24,3,180,85,O,右右,大阪,800
阪,56,松田　遼馬,投手,1994/02/08,22,5,184,91,A,右右,長崎,"1,200"
阪,57,岡﨑　太一,捕手,1983/06/20,33,12,180,83,O,右右,奈良,850
阪,58,荒木　郁也,内野手,1988/04/25,28,6,183,70,B,右左,東京,800
阪,59,岩本　輝,投手,1992/10/21,23,6,182,82,O,右左,山口,800
阪,60,中谷　将大,外野手,1993/01/05,23,6,187,87,A,右右,福岡,700
阪,61,望月　惇志,投手,1997/08/02,18,1,188,84,AB,右右,神奈川,500
阪,62,植田　海,内野手,1996/04/19,20,2,175,70,O,右右,滋賀,500
阪,63,板山　祐太郎,外野手,1994/03/27,22,1,180,79,B,右左,神奈川,720
阪,64,桑原　謙太朗,投手,1985/10/29,30,9,183,84,O,右右,三重,900
阪,65,緒方　凌介,外野手,1990/08/25,25,4,176,69,O,右左,大阪,800
阪,66,二神　一人,投手,1987/06/03,29,7,185,88,AB,右右,高知,900
阪,67,岩崎　優,投手,1991/06/19,25,3,185,88,B,左左,静岡,"2,000"
阪,68,俊介,外野手,1987/08/17,28,7,178,72,A,右右,福岡,"2,700"
阪,69,島本　浩也,投手,1993/02/14,23,6,176,68,B,左左,奈良,720
阪,92,伊藤　和雄,投手,1989/12/13,26,5,186,95,A,右右,埼玉,550
阪,94,原口　文仁,捕手,1992/03/03,24,7,182,86,AB,右右,埼玉,400
阪,95,ペレス,外野手,1987/11/16,28,2,191,102,不明,右左,ドミニカ共和国,"2,000"
阪,97,田面　巧二郎,投手,1990/12/09,25,4,179,89,A,右右,群馬,480
阪,98,ドリス,投手,1988/01/10,28,1,195,109,不明,右右,ドミニカ共和国,"5,000"
阪,99,狩野　恵輔,外野手,1982/12/17,33,16,181,81,B,右右,群馬,"2,300"
阪,118,トラヴィス,投手,1993/10/09,22,5,193,82,O,右右,沖縄,360
阪,123,一二三　慎太,外野手,1992/09/29,23,6,187,91,A,右右,大阪,570
中,00,エルナンデス,内野手,1982/10/30,33,3,178,87,不明,右両,ドミニカ共和国,"4,500"
中,1,友永　翔太,外野手,1991/04/01,25,2,170,74,O,右左,神奈川,750
中,2,荒木　雅博,内野手,1977/09/13,38,21,180,74,A,右右,熊本,"8,800"
中,3,高橋　周平,内野手,1994/01/18,22,5,180,85,O,右左,神奈川,"1,600"
中,4,藤井　淳志,外野手,1981/05/20,35,11,182,81,O,右両,愛知,"4,200"
中,5,阿部　寿樹,内野手,1989/12/03,26,1,185,80,B,右右,岩手,"1,000"
中,6,平田　良介,外野手,1988/03/23,28,11,177,88,B,右右,大阪,"7,000"
中,7,森野　将彦,内野手,1978/07/28,37,20,180,85,AB,右左,神奈川,"14,000"
中,8,大島　洋平,外野手,1985/11/09,30,7,176,74,A,左左,愛知,"9,000"
中,9,石川　駿,内野手,1990/05/26,26,2,178,82,A,右右,滋賀,750
中,11,小笠原　慎之介,投手,1997/10/08,18,1,180,83,A,左左,神奈川,"1,500"
中,12,田島　慎二,投手,1989/12/21,26,5,181,84,B,右右,愛知,"4,200"
中,13,岩瀬　仁紀,投手,1974/11/10,41,18,181,85,AB,左左,愛知,"5,000"
中,14,佐藤　優,投手,1993/06/29,23,1,187,85,O,右左,宮城,"1,000"
中,16,又吉　克樹,投手,1990/11/04,25,3,180,74,A,右右,沖縄,"4,500"
中,17,雄太,投手,1980/06/17,36,12,178,77,O,左左,長野,"2,300"
中,18,鈴木　翔太,投手,1995/06/16,21,3,183,74,O,右右,静岡,600
中,19,吉見　一起,投手,1984/09/19,31,11,182,91,A,右右,京都,"8,900"
中,20,野村　亮介,投手,1993/07/09,22,2,187,85,A,右右,静岡,"1,130"
中,21,岡田　俊哉,投手,1991/12/05,24,7,179,65,A,左左,和歌山,"3,400"
中,22,大野　雄大,投手,1988/09/26,27,6,183,78,O,左左,京都,"10,800"
中,23,遠藤　一星,内野手,1989/03/23,27,2,182,78,O,右左,東京,"1,500"
中,24,福谷　浩司,投手,1991/01/09,25,4,183,90,B,右右,愛知,"4,000"
中,25,武藤　祐太,投手,1989/06/14,27,6,178,85,O,右右,埼玉,"1,600"
中,26,井領　雅貴,外野手,1989/11/04,26,2,174,82,O,右左,千葉,750
中,28,岩田　慎司,投手,1987/01/27,29,8,181,80,B,右左,岐阜,"1,150"
中,29,山井　大介,投手,1978/05/10,38,15,179,82,A,右右,大阪,"12,000"
中,30,阿知羅　拓馬,投手,1992/11/20,23,3,190,95,B,右右,大阪,507
中,31,野本　圭,外野手,1984/07/07,31,8,180,81,B,左左,岡山,"1,300"
中,32,西川　健太郎,投手,1993/04/18,23,5,184,73,A,右右,石川,580
中,33,祖父江　大輔,投手,1987/08/11,28,3,175,78,B,右左,愛知,"2,600"
中,34,福　敬登,投手,1992/06/16,24,1,178,87,O,左左,兵庫,"1,000"
中,35,木下　拓哉,捕手,1991/12/18,24,1,183,92,B,右右,高知,"1,000"
中,36,石岡　諒太,内野手,1992/05/25,24,1,187,90,A,左左,兵庫,"1,000"
中,37,三ツ俣　大樹,内野手,1992/05/11,24,6,177,80,O,右右,東京,750
中,38,松井　雅人,捕手,1987/11/19,28,7,179,78,A,右左,群馬,"1,800"
中,39,加藤　匠馬,捕手,1992/04/29,24,2,175,74,B,右右,三重,610
中,40,桂　依央利,捕手,1991/07/09,24,3,185,83,B,右右,大阪,"1,200"
中,41,浅尾　拓也,投手,1984/10/22,31,10,182,75,A,右右,愛知,"9,800"
中,42,ハイメ,投手,1987/08/02,28,1,188,106,不明,右右,ドミニカ共和国,"3,000"
中,43,濱田　達郎,投手,1994/08/04,21,4,184,90,O,左左,愛知,"1,300"
中,44,バルデス,投手,1977/11/27,38,2,180,95,A,左左,キューバ,"4,800"
中,45,杉山　翔大,捕手,1991/02/10,25,4,173,88,O,右右,千葉,"1,500"
中,46,古本　武尊,外野手,1990/12/04,25,4,176,87,B,右左,福岡,460
中,47,浜田　智博,投手,1992/10/01,23,2,183,75,O,左左,宮崎,750
中,48,溝脇　隼人,内野手,1994/05/17,22,4,178,70,O,右左,熊本,520
中,50,金子　丈,投手,1993/02/25,23,2,189,90,A,右右,大阪,750
中,51,山本　雅士,投手,1994/11/03,21,2,173,78,AB,右左,広島,600
中,52,武山　真吾,捕手,1984/06/22,32,14,179,88,O,右右,愛知,"1,200"
中,53,亀澤　恭平,内野手,1988/10/15,27,5,174,74,B,右左,岡山,"2,000"
中,54,ネイラー,投手,1986/05/31,30,2,196,105,不明,右右,オーストラリア,"3,000"
中,55,福田　永将,内野手,1988/07/23,27,10,181,80,O,右右,神奈川,"1,500"
中,56,松井　佑介,外野手,1987/07/10,28,7,183,83,O,右右,大阪,"1,300"
中,57,小川　龍也,投手,1991/09/03,24,7,182,70,A,左左,千葉,480
中,58,八木　智哉,投手,1983/11/07,32,11,181,78,O,左左,神奈川,"2,000"
中,59,大場　翔太,投手,1985/06/27,31,9,182,85,A,右右,東京,"1,200"
中,60,ナニータ,外野手,1981/06/12,35,2,182,93,O,左左,ドミニカ共和国,"3,600"
中,61,若松　駿太,投手,1995/02/28,21,4,180,75,AB,右右,福岡,"3,600"
中,62,工藤　隆人,外野手,1981/03/30,35,12,171,73,A,左左,青森,"1,500"
中,63,堂上　直倫,内野手,1988/09/23,27,10,184,82,O,右右,愛知,"1,800"
中,64,小熊　凌祐,投手,1990/08/11,25,8,180,80,B,右右,滋賀,"1,200"
中,65,伊藤　準規,投手,1991/01/07,25,8,187,80,B,右左,愛知,675
中,66,ビシエド,外野手,1989/03/10,27,1,185,108,不明,右右,キューバ,"17,000"
中,68,赤田　龍一郎,捕手,1988/01/07,28,7,178,80,B,右左,愛知,440
中,69,赤坂　和幸,外野手,1989/09/04,26,9,185,83,B,右右,神奈川,"1,300"
中,70,谷　哲也,内野手,1985/07/09,30,9,180,78,A,右右,徳島,750
中,98,セプティモ,投手,1985/07/07,30,1,186,91,不明,左左,ドミニカ共和国,"1,000"
中,99,ジョーダン,投手,1986/12/08,29,1,183,88,B,左左,ドミニカ共和国,"3,000"
中,201,川崎　貴弘,投手,1993/08/02,22,5,187,85,A,右右,三重,440
中,202,岸本　淳希,投手,1996/02/19,20,3,181,79,A,右右,福井,300
中,203,中川　誠也,投手,1993/12/03,22,1,178,81,A,左左,三重,300
中,205,吉田　嵩,投手,1996/07/08,19,1,185,83,A,右右,長崎,300
中,206,三ツ間　卓也,投手,1992/07/22,23,1,183,92,A,右右,群馬,300
中,207,藤吉　優,捕手,1996/08/07,19,2,180,74,A,右左,福岡,300
中,208,西濵　幹紘,投手,1993/08/04,22,1,174,78,A,右右,三重,300
中,210,呉屋　開斗,投手,1997/09/30,18,1,180,75,A,左左,兵庫,300
