,Team,No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,出身地,年俸(推定),投,打
165,阪,5,ゴメス,内野手,1984/09/07,31,3,188,104,不明,ドミニカ共和国,20000,右,右
166,阪,7,西岡　剛,内野手,1984/07/27,31,12,182,82,A,大阪,10800,右,両
167,阪,8,福留　孝介,外野手,1977/04/26,38,13,182,92,B,鹿児島,20000,右,左
168,阪,9,髙山　俊,外野手,1993/04/18,22,1,181,86,O,千葉,1500,右,左
169,阪,12,坂本　誠志郎,捕手,1993/11/10,22,1,176,78,O,兵庫,1200,右,右
170,阪,13,榎田　大樹,投手,1986/08/07,29,6,181,89,AB,鹿児島,3200,左,左
171,阪,14,能見　篤史,投手,1979/05/28,36,12,180,73,AB,兵庫,14000,左,左
172,阪,15,横山　雄哉,投手,1994/02/21,22,2,183,84,O,山形,1500,左,左
173,阪,16,安藤　優也,投手,1977/12/27,38,15,184,96,O,大分,8200,右,右
174,阪,17,岩貞　祐太,投手,1991/09/05,24,3,183,79,A,熊本,1600,左,左
175,阪,18,藤川　球児,投手,1980/07/21,35,15,184,86,A,高知,20000,右,左
176,阪,19,藤浪　晋太郎,投手,1994/04/12,21,4,197,89,A,大阪,17000,右,右
177,阪,20,筒井　和也,投手,1981/10/05,34,13,184,90,O,愛媛,2200,左,右
178,阪,21,岩田　稔,投手,1983/10/31,32,11,179,95,O,大阪,6800,左,左
179,阪,24,横田　慎太郎,外野手,1995/06/09,20,3,186,92,O,鹿児島,720,左,左
180,阪,25,江越　大賀,外野手,1993/03/12,23,2,182,80,O,長崎,1600,右,右
181,阪,26,歳内　宏明,投手,1993/07/19,22,5,184,89,B,兵庫,1600,右,右
182,阪,27,秋山　拓巳,投手,1991/04/26,24,7,188,98,A,香川,1000,右,左
183,阪,28,福原　忍,投手,1976/12/28,39,18,180,96,O,広島,15000,右,右
184,阪,29,小嶋　達也,投手,1985/10/07,30,10,182,81,A,大阪,800,左,左
185,阪,30,石崎　剛,投手,1990/09/09,25,2,183,85,O,茨城,1180,右,右
186,阪,32,新井　良太,内野手,1983/08/16,32,11,188,97,AB,広島,2700,右,右
187,阪,33,西田　直斗,内野手,1993/04/26,22,5,186,78,O,大阪,580,右,左
188,阪,34,高宮　和也,投手,1981/12/04,34,11,174,80,A,大阪,3000,左,左
189,阪,35,坂　克彦,内野手,1985/09/06,30,13,180,84,A,茨城,2300,右,左
190,阪,36,ヘイグ,内野手,1985/08/20,30,1,191,102,不明,アメリカ,8000,右,右
191,阪,37,森越　祐人,内野手,1988/08/11,27,6,178,70,A,愛知,600,右,右
192,阪,38,マテオ,投手,1984/04/18,31,1,188,107,不明,ドミニカ共和国,7500,右,右
193,阪,39,小宮山　慎二,捕手,1985/11/26,30,13,178,86,A,神奈川,1200,右,右
194,阪,40,鶴岡　一成,捕手,1977/05/30,38,21,184,85,A,兵庫,4200,右,右
195,阪,41,髙橋　聡文,投手,1983/05/29,32,15,176,85,A,福井,3000,左,左
196,阪,42,竹安　大知,投手,1994/09/27,21,1,183,80,O,静岡,840,右,右
197,阪,43,守屋　功輝,投手,1993/11/25,22,2,183,87,A,岡山,800,右,右
198,阪,44,梅野　隆太郎,捕手,1991/06/17,24,3,173,74,A,福岡,1500,右,右
199,阪,45,清水　誉,捕手,1984/04/23,31,10,178,77,A,兵庫,1150,右,右
200,阪,46,鶴　直人,投手,1987/04/25,28,11,180,76,A,大阪,1300,右,左
201,阪,47,山本　翔也,投手,1988/10/12,27,3,183,87,O,福井,600,左,左
202,阪,48,金田　和之,投手,1990/09/18,25,4,184,83,O,鹿児島,1500,右,右
203,阪,49,今成　亮太,内野手,1987/10/06,28,11,178,76,O,埼玉,4000,右,左
204,阪,50,青柳　晃洋,投手,1993/12/11,22,1,181,79,B,神奈川,720,右,右
205,阪,51,伊藤　隼太,外野手,1989/05/08,26,5,177,83,O,愛知,1700,右,左
206,阪,52,小豆畑　眞也,捕手,1988/07/22,27,4,181,78,A,岐阜,700,右,右
207,阪,54,メッセンジャー,投手,1981/08/13,34,7,198,121,不明,アメリカ,30000,右,右
208,阪,55,陽川　尚将,内野手,1991/07/17,24,3,180,85,O,大阪,800,右,右
209,阪,56,松田　遼馬,投手,1994/02/08,22,5,184,91,A,長崎,1200,右,右
210,阪,57,岡﨑　太一,捕手,1983/06/20,32,12,180,83,O,奈良,850,右,右
211,阪,58,荒木　郁也,内野手,1988/04/25,27,6,183,70,B,東京,800,右,左
212,阪,59,岩本　輝,投手,1992/10/21,23,6,182,82,O,山口,800,右,左
213,阪,60,中谷　将大,外野手,1993/01/05,23,6,187,87,A,福岡,700,右,右
214,阪,61,望月　惇志,投手,1997/08/02,18,1,188,84,AB,神奈川,500,右,右
215,阪,62,植田　海,内野手,1996/04/19,19,2,175,70,O,滋賀,500,右,右
216,阪,63,板山　祐太郎,外野手,1994/03/27,22,1,180,79,B,神奈川,720,右,左
217,阪,64,桑原　謙太朗,投手,1985/10/29,30,9,183,84,O,三重,900,右,右
218,阪,65,緒方　凌介,外野手,1990/08/25,25,4,176,69,O,大阪,800,右,左
219,阪,66,二神　一人,投手,1987/06/03,28,7,185,88,AB,高知,900,右,右
220,阪,67,岩崎　優,投手,1991/06/19,24,3,185,88,B,静岡,2000,左,左
221,阪,68,俊介,外野手,1987/08/17,28,7,178,72,A,福岡,2700,右,右
222,阪,69,島本　浩也,投手,1993/02/14,23,6,176,68,B,奈良,720,左,左
223,阪,92,伊藤　和雄,投手,1989/12/13,26,5,186,95,A,埼玉,550,右,右
224,阪,95,ペレス,外野手,1987/11/16,28,2,191,102,不明,ドミニカ共和国,2000,右,左
225,阪,98,ドリス,投手,1988/01/10,28,1,195,109,不明,ドミニカ共和国,5000,右,右
226,阪,99,狩野　恵輔,外野手,1982/12/17,33,16,181,81,B,群馬,2300,右,右
227,阪,116,田面　巧二郎,投手,1990/12/09,25,4,179,89,A,群馬,480,右,右
228,阪,118,トラヴィス,投手,1993/10/09,22,5,193,82,O,沖縄,360,右,右
229,阪,123,一二三　慎太,外野手,1992/09/29,23,6,187,91,A,大阪,570,右,右
230,阪,124,原口　文仁,捕手,1992/03/03,24,7,182,86,AB,埼玉,400,右,右
231,中,00,エルナンデス,内野手,1982/10/30,33,3,178,87,不明,ドミニカ共和国,4500,右,両
232,中,1,友永　翔太,外野手,1991/04/01,24,2,170,74,O,神奈川,750,右,左
233,中,2,荒木　雅博,内野手,1977/09/13,38,21,180,74,A,熊本,8800,右,右
234,中,3,高橋　周平,内野手,1994/01/18,22,5,180,85,O,神奈川,1600,右,左
235,中,4,藤井　淳志,外野手,1981/05/20,34,11,182,81,O,愛知,4200,右,両
236,中,5,阿部　寿樹,内野手,1989/12/03,26,1,185,80,B,岩手,1000,右,右
237,中,6,平田　良介,外野手,1988/03/23,28,11,177,88,B,大阪,7000,右,右
238,中,7,森野　将彦,内野手,1978/07/28,37,20,180,85,AB,神奈川,14000,右,左
239,中,8,大島　洋平,外野手,1985/11/09,30,7,176,74,A,愛知,9000,左,左
240,中,9,石川　駿,内野手,1990/05/26,25,2,178,82,A,滋賀,750,右,右
241,中,11,小笠原　慎之介,投手,1997/10/08,18,1,180,83,A,神奈川,1500,左,左
242,中,12,田島　慎二,投手,1989/12/21,26,5,181,84,B,愛知,4200,右,右
243,中,13,岩瀬　仁紀,投手,1974/11/10,41,18,181,85,AB,愛知,5000,左,左
244,中,14,佐藤　優,投手,1993/06/29,22,1,187,85,O,宮城,1000,右,左
245,中,16,又吉　克樹,投手,1990/11/04,25,3,180,74,A,沖縄,4500,右,右
246,中,17,雄太,投手,1980/06/17,35,12,178,77,O,長野,2300,左,左
247,中,18,鈴木　翔太,投手,1995/06/16,20,3,183,74,O,静岡,600,右,右
248,中,19,吉見　一起,投手,1984/09/19,31,11,182,91,A,京都,8900,右,右
249,中,20,野村　亮介,投手,1993/07/09,22,2,187,85,A,静岡,1130,右,右
250,中,21,岡田　俊哉,投手,1991/12/05,24,7,179,65,A,和歌山,3400,左,左
251,中,22,大野　雄大,投手,1988/09/26,27,6,183,78,O,京都,10800,左,左
252,中,23,遠藤　一星,内野手,1989/03/23,27,2,182,78,O,東京,1500,右,左
253,中,24,福谷　浩司,投手,1991/01/09,25,4,183,90,B,愛知,4000,右,右
254,中,25,武藤　祐太,投手,1989/06/14,26,6,178,85,O,埼玉,1600,右,右
255,中,26,井領　雅貴,外野手,1989/11/04,26,2,174,82,O,千葉,750,右,左
256,中,28,岩田　慎司,投手,1987/01/27,29,8,181,80,B,岐阜,1150,右,左
257,中,29,山井　大介,投手,1978/05/10,37,15,179,82,A,大阪,12000,右,右
258,中,30,阿知羅　拓馬,投手,1992/11/20,23,3,190,95,B,大阪,507,右,右
259,中,31,野本　圭,外野手,1984/07/07,31,8,180,81,B,岡山,1300,左,左
260,中,32,西川　健太郎,投手,1993/04/18,22,5,184,73,A,石川,580,右,右
261,中,33,祖父江　大輔,投手,1987/08/11,28,3,175,78,B,愛知,2600,右,左
262,中,34,福　敬登,投手,1992/06/16,23,1,178,87,O,兵庫,1000,左,左
263,中,35,木下　拓哉,捕手,1991/12/18,24,1,183,92,B,高知,1000,右,右
264,中,36,石岡　諒太,内野手,1992/05/25,23,1,187,90,A,兵庫,1000,左,左
265,中,37,三ツ俣　大樹,内野手,1992/05/11,23,6,177,80,O,東京,750,右,右
266,中,38,松井　雅人,捕手,1987/11/19,28,7,179,78,A,群馬,1800,右,左
267,中,39,加藤　匠馬,捕手,1992/04/29,23,2,175,74,B,三重,610,右,右
268,中,40,桂　依央利,捕手,1991/07/09,24,3,185,83,B,大阪,1200,右,右
269,中,41,浅尾　拓也,投手,1984/10/22,31,10,182,75,A,愛知,9800,右,右
270,中,42,ハイメ,投手,1987/08/02,28,1,188,106,不明,ドミニカ共和国,3000,右,右
271,中,43,濱田　達郎,投手,1994/08/04,21,4,184,90,O,愛知,1300,左,左
272,中,44,バルデス,投手,1977/11/27,38,2,180,95,A,キューバ,4800,左,左
273,中,45,杉山　翔大,捕手,1991/02/10,25,4,173,88,O,千葉,1500,右,右
274,中,46,古本　武尊,外野手,1990/12/04,25,4,176,87,B,福岡,460,右,左
275,中,47,浜田　智博,投手,1992/10/01,23,2,183,75,O,宮崎,750,左,左
276,中,48,溝脇　隼人,内野手,1994/05/17,21,4,178,70,O,熊本,520,右,左
277,中,50,金子　丈,投手,1993/02/25,23,2,189,90,A,大阪,750,右,右
278,中,51,山本　雅士,投手,1994/11/03,21,2,173,78,AB,広島,600,右,左
279,中,52,武山　真吾,捕手,1984/06/22,31,14,179,88,O,愛知,1200,右,右
280,中,53,亀澤　恭平,内野手,1988/10/15,27,5,174,74,B,岡山,2000,右,左
281,中,54,ネイラー,投手,1986/05/31,29,2,196,105,不明,オーストラリア,3000,右,右
282,中,55,福田　永将,内野手,1988/07/23,27,10,181,80,O,神奈川,1500,右,右
283,中,56,松井　佑介,外野手,1987/07/10,28,7,183,83,O,大阪,1300,右,右
284,中,57,小川　龍也,投手,1991/09/03,24,7,182,70,A,千葉,480,左,左
285,中,58,八木　智哉,投手,1983/11/07,32,11,181,78,O,神奈川,2000,左,左
286,中,59,大場　翔太,投手,1985/06/27,30,9,182,85,A,東京,1200,右,右
287,中,60,ナニータ,外野手,1981/06/12,34,2,182,93,O,ドミニカ共和国,3600,左,左
288,中,61,若松　駿太,投手,1995/02/28,21,4,180,75,AB,福岡,3600,右,右
289,中,62,工藤　隆人,外野手,1981/03/30,35,12,171,73,A,青森,1500,左,左
290,中,63,堂上　直倫,内野手,1988/09/23,27,10,184,82,O,愛知,1800,右,右
291,中,64,小熊　凌祐,投手,1990/08/11,25,8,180,80,B,滋賀,1200,右,右
292,中,65,伊藤　準規,投手,1991/01/07,25,8,187,80,B,愛知,675,右,左
293,中,66,ビシエド,外野手,1989/03/10,27,1,185,108,不明,キューバ,17000,右,右
294,中,68,赤田　龍一郎,捕手,1988/01/07,28,7,178,80,B,愛知,440,右,左
295,中,69,赤坂　和幸,外野手,1989/09/04,26,9,185,83,B,神奈川,1300,右,右
296,中,70,谷　哲也,内野手,1985/07/09,30,9,180,78,A,徳島,750,右,右
297,中,99,ジョーダン,投手,1986/12/08,29,1,183,88,B,ドミニカ共和国,3000,左,左
298,中,201,川崎　貴弘,投手,1993/08/02,22,5,187,85,A,三重,440,右,右
299,中,202,岸本　淳希,投手,1996/02/19,20,3,181,79,A,福井,300,右,右
300,中,203,中川　誠也,投手,1993/12/03,22,1,178,81,A,三重,300,左,左
301,中,205,吉田　嵩,投手,1996/07/08,19,1,185,83,A,長崎,300,右,右
302,中,206,三ツ間　卓也,投手,1992/07/22,23,1,183,92,A,群馬,300,右,右
303,中,207,藤吉　優,捕手,1996/08/07,19,2,180,74,A,福岡,300,右,左
